Date,"Total Cases","New Cases","New Cases 7-Day Moving Average","Case Growth","Cases Growth 7DMA","Total Deaths","New Deaths","New Deaths 7DMA","Death Growth","Death Growth 7DMA","Total Recoveries","New Recoveries","Recovery Rate","Active Cases","Case Fatality Rate (CFR)","Adjusted CFR","Total Deaths per MM Population","Total Cases per MM Population","Active Cases per ICU Bed"
2021-10-09,1561878,415,647,0.03%,0.04%,27674,20,17,0.07%,0.06%,0,0,0%,1534204,1.77%,100%,168.04,9483.8
2021-10-08,1561463,645,672,0.04%,0.04%,27654,7,18,0.03%,0.07%,0,0,0%,1533809,1.77%,100%,167.92,9481.28
2021-10-07,1560818,663,701,0.04%,0.04%,27647,12,20,0.04%,0.07%,0,0,0%,1533171,1.77%,100%,167.87,9477.37
2021-10-06,1560155,703,729,0.05%,0.05%,27635,21,21,0.08%,0.08%,0,0,0%,1532520,1.77%,100%,167.8,9473.34
2021-10-05,1559452,694,797,0.04%,0.05%,27614,23,21,0.08%,0.08%,0,0,0%,1531838,1.77%,100%,167.67,9469.07
2021-10-04,1558758,794,885,0.05%,0.06%,27591,18,22,0.07%,0.08%,0,0,0%,1531167,1.77%,100%,167.53,9464.86
2021-10-03,1557964,617,945,0.04%,0.06%,27573,18,23,0.07%,0.08%,0,0,0%,1530391,1.77%,100%,167.42,9460.04
2021-10-02,1557347,589,997,0.04%,0.06%,27555,24,23,0.09%,0.08%,0,0,0%,1529792,1.77%,100%,167.32,9456.29
2021-10-01,1556758,847,1029,0.05%,0.07%,27531,21,23,0.08%,0.08%,0,0,0%,1529227,1.77%,100%,167.17,9452.71
2021-09-30,1555911,860,1084,0.06%,0.07%,27510,23,25,0.08%,0.09%,0,0,0%,1528401,1.77%,100%,167.04,9447.57
2021-09-29,1555051,1178,1125,0.08%,0.07%,27487,17,25,0.06%,0.09%,0,0,0%,1527564,1.77%,100%,166.9,9442.35
2021-09-28,1553873,1310,1153,0.08%,0.07%,27470,31,28,0.11%,0.1%,0,0,0%,1526403,1.77%,100%,166.8,9435.2
2021-09-27,1552563,1212,1189,0.08%,0.08%,27439,25,27,0.09%,0.1%,0,0,0%,1525124,1.77%,100%,166.61,9427.24
2021-09-26,1551351,980,1238,0.06%,0.08%,27414,21,27,0.08%,0.1%,0,0,0%,1523937,1.77%,100%,166.46,9419.88
2021-09-25,1550371,818,1296,0.05%,0.08%,27393,25,30,0.09%,0.11%,0,0,0%,1522978,1.77%,100%,166.33,9413.93
2021-09-24,1549553,1233,1349,0.08%,0.09%,27368,31,32,0.11%,0.12%,0,0,0%,1522185,1.77%,100%,166.18,9408.96
2021-09-23,1548320,1144,1445,0.07%,0.09%,27337,24,33,0.09%,0.12%,0,0,0%,1520983,1.77%,100%,165.99,9401.48
2021-09-22,1547176,1376,1548,0.09%,0.1%,27313,36,36,0.13%,0.14%,0,0,0%,1519863,1.77%,100%,165.85,9394.53
2021-09-21,1545800,1562,1623,0.1%,0.1%,27277,26,39,0.1%,0.14%,0,0,0%,1518523,1.76%,100%,165.63,9386.18
2021-09-20,1544238,1555,1696,0.1%,0.11%,27251,26,40,0.1%,0.15%,0,0,0%,1516987,1.76%,100%,165.47,9376.69
2021-09-19,1542683,1383,1753,0.09%,0.11%,27225,43,42,0.16%,0.16%,0,0,0%,1515458,1.76%,100%,165.31,9367.25
2021-09-18,1541300,1190,1823,0.08%,0.12%,27182,35,43,0.13%,0.16%,0,0,0%,1514118,1.76%,100%,165.05,9358.85
2021-09-17,1540110,1907,1842,0.12%,0.12%,27147,38,45,0.14%,0.17%,0,0,0%,1512963,1.76%,100%,164.84,9351.63
2021-09-16,1538203,1862,1902,0.12%,0.12%,27109,51,45,0.19%,0.17%,0,0,0%,1511094,1.76%,100%,164.61,9340.05
2021-09-15,1536341,1901,2006,0.12%,0.13%,27058,51,46,0.19%,0.17%,0,0,0%,1509283,1.76%,100%,164.3,9328.74
2021-09-14,1534440,2074,2091,0.14%,0.14%,27007,35,46,0.13%,0.17%,0,0,0%,1507433,1.76%,100%,163.99,9317.2
2021-09-13,1532366,1953,2171,0.13%,0.14%,26972,41,49,0.15%,0.18%,0,0,0%,1505394,1.76%,100%,163.78,9304.6
2021-09-12,1530413,1871,2280,0.12%,0.15%,26931,51,53,0.19%,0.2%,0,0,0%,1503482,1.76%,100%,163.53,9292.75
2021-09-11,1528542,1327,2359,0.09%,0.15%,26880,48,55,0.18%,0.21%,0,0,0%,1501662,1.76%,100%,163.22,9281.38
2021-09-10,1527215,2325,2419,0.15%,0.16%,26832,38,57,0.14%,0.21%,0,0,0%,1500383,1.76%,100%,162.93,9273.33
2021-09-09,1524890,2588,2539,0.17%,0.17%,26794,58,62,0.22%,0.23%,0,0,0%,1498096,1.76%,100%,162.69,9259.21
2021-09-08,1522302,2497,2660,0.16%,0.18%,26736,52,66,0.19%,0.25%,0,0,0%,1495566,1.76%,100%,162.34,9243.5
2021-09-07,1519805,2639,2741,0.17%,0.18%,26684,56,70,0.21%,0.26%,0,0,0%,1493121,1.76%,100%,162.03,9228.33
2021-09-06,1517166,2710,2844,0.18%,0.19%,26628,65,74,0.24%,0.28%,0,0,0%,1490538,1.76%,100%,161.69,9212.31
2021-09-05,1514456,2430,2988,0.16%,0.2%,26563,70,78,0.26%,0.3%,0,0,0%,1487893,1.75%,100%,161.29,9195.85
2021-09-04,1512026,1743,3205,0.12%,0.21%,26493,61,81,0.23%,0.31%,0,0,0%,1485533,1.75%,100%,160.87,9181.1
2021-09-03,1510283,3167,3447,0.21%,0.23%,26432,70,84,0.27%,0.32%,0,0,0%,1483851,1.75%,100%,160.5,9170.52
2021-09-02,1507116,3436,3498,0.23%,0.23%,26362,88,90,0.33%,0.35%,0,0,0%,1480754,1.75%,100%,160.07,9151.29
2021-09-01,1503680,3062,3679,0.2%,0.25%,26274,79,92,0.3%,0.36%,0,0,0%,1477406,1.75%,100%,159.54,9130.42
2021-08-31,1500618,3357,3951,0.22%,0.27%,26195,86,97,0.33%,0.38%,0,0,0%,1474423,1.75%,100%,159.06,9111.83
2021-08-30,1497261,3724,4221,0.25%,0.29%,26109,94,101,0.36%,0.39%,0,0,0%,1471152,1.74%,100%,158.54,9091.45
2021-08-29,1493537,3948,4506,0.27%,0.31%,26015,89,105,0.34%,0.41%,0,0,0%,1467522,1.74%,100%,157.96,9068.83
2021-08-28,1489589,3436,4628,0.23%,0.32%,25926,80,112,0.31%,0.44%,0,0,0%,1463663,1.74%,100%,157.42,9044.86
2021-08-27,1486153,3525,4707,0.24%,0.32%,25846,117,118,0.45%,0.46%,0,0,0%,1460307,1.74%,100%,156.94,9024
2021-08-26,1482628,4698,5060,0.32%,0.35%,25729,102,122,0.4%,0.48%,0,0,0%,1456899,1.74%,100%,156.23,9002.59
2021-08-25,1477930,4966,5327,0.34%,0.37%,25627,114,130,0.45%,0.52%,0,0,0%,1452303,1.73%,100%,155.61,8974.07
2021-08-24,1472964,5249,5653,0.36%,0.39%,25513,114,138,0.45%,0.55%,0,0,0%,1447451,1.73%,100%,154.92,8943.91
2021-08-23,1467715,5717,5979,0.39%,0.41%,25399,117,150,0.46%,0.6%,0,0,0%,1442316,1.73%,100%,154.22,8912.04
2021-08-22,1461998,4804,6157,0.33%,0.43%,25282,139,158,0.55%,0.64%,0,0,0%,1436716,1.73%,100%,153.51,8877.33
2021-08-21,1457194,3991,6425,0.27%,0.45%,25143,120,165,0.48%,0.67%,0,0,0%,1432051,1.73%,100%,152.67,8848.16
2021-08-20,1453203,5993,6839,0.41%,0.48%,25023,145,173,0.58%,0.71%,0,0,0%,1428180,1.72%,100%,151.94,8823.92
2021-08-19,1447210,6566,7192,0.46%,0.51%,24878,159,181,0.64%,0.75%,0,0,0%,1422332,1.72%,100%,151.06,8787.53
2021-08-18,1440644,7248,7700,0.51%,0.55%,24719,172,189,0.7%,0.79%,0,0,0%,1415925,1.72%,100%,150.1,8747.66
2021-08-17,1433396,7535,8153,0.53%,0.58%,24547,198,198,0.81%,0.83%,0,0,0%,1408849,1.71%,100%,149.05,8703.65
2021-08-16,1425861,6959,8672,0.49%,0.62%,24349,174,207,0.72%,0.88%,0,0,0%,1401512,1.71%,100%,147.85,8657.9
2021-08-15,1418902,6684,9315,0.47%,0.68%,24175,187,218,0.78%,0.93%,0,0,0%,1394727,1.7%,100%,146.79,8615.65
2021-08-14,1412218,6885,9832,0.49%,0.72%,23988,178,225,0.75%,0.98%,0,0,0%,1388230,1.7%,100%,145.66,8575.06
2021-08-13,1405333,8465,10010,0.61%,0.74%,23810,197,237,0.83%,1.04%,0,0,0%,1381523,1.69%,100%,144.58,8533.25
2021-08-12,1396868,10126,10602,0.73%,0.78%,23613,215,244,0.92%,1.08%,0,0,0%,1373255,1.69%,100%,143.38,8481.85
2021-08-11,1386742,10420,10976,0.76%,0.82%,23398,237,251,1.02%,1.12%,0,0,0%,1363344,1.69%,100%,142.07,8420.37
2021-08-10,1376322,11164,11461,0.82%,0.86%,23161,264,252,1.15%,1.14%,0,0,0%,1353161,1.68%,100%,140.63,8357.1
2021-08-09,1365158,11463,12120,0.85%,0.92%,22897,245,248,1.08%,1.13%,0,0,0%,1342261,1.68%,100%,139.03,8289.31
2021-08-08,1353695,10299,12767,0.77%,0.98%,22652,241,248,1.08%,1.15%,0,0,0%,1331043,1.67%,100%,137.54,8219.71
2021-08-07,1343396,8136,13416,0.61%,1.04%,22411,261,247,1.18%,1.15%,0,0,0%,1320985,1.67%,100%,136.08,8157.17
2021-08-06,1335260,12606,13592,0.95%,1.06%,22150,248,240,1.13%,1.14%,0,0,0%,1313110,1.66%,100%,134.5,8107.77
2021-08-05,1322654,12744,13772,0.97%,1.09%,21902,264,235,1.22%,1.13%,0,-1141157,0%,1300752,1.66%,100%,132.99,8031.22
2021-08-04,1309910,13817,14133,1.07%,1.13%,21638,241,232,1.13%,1.12%,1141157,16112,87.12%,147115,1.65%,1.86%,131.39,7953.84
2021-08-03,1296093,15776,14477,1.23%,1.17%,21397,235,231,1.11%,1.13%,1125045,16297,86.8%,149651,1.65%,1.87%,129.92,7869.94
2021-08-02,1280317,15989,14356,1.26%,1.18%,21162,246,234,1.18%,1.16%,1108748,15482,86.6%,150407,1.65%,1.87%,128.5,7774.15
2021-08-01,1264328,14844,14242,1.19%,1.18%,20916,231,235,1.12%,1.18%,1093266,15054,86.47%,150146,1.65%,1.88%,127,7677.06
2021-07-31,1249484,9369,13734,0.76%,1.15%,20685,218,234,1.07%,1.19%,1078212,14017,86.29%,150587,1.66%,1.88%,125.6,7586.93
2021-07-30,1240115,13862,13364,1.13%,1.13%,20467,212,231,1.05%,1.18%,1064195,13975,85.81%,155453,1.65%,1.89%,124.28,7530.04
2021-07-29,1226253,15271,12293,1.26%,1.05%,20255,239,224,1.19%,1.16%,1050220,14336,85.64%,155778,1.65%,1.89%,122.99,7445.87
2021-07-28,1210982,16230,10640,1.36%,0.91%,20016,237,217,1.2%,1.13%,1035884,13470,85.54%,155082,1.65%,1.9%,121.54,7353.14
2021-07-27,1194752,14925,9409,1.27%,0.81%,19779,258,208,1.32%,1.1%,1022414,12439,85.58%,152559,1.66%,1.9%,120.1,7254.6
2021-07-26,1179827,15192,8931,1.3%,0.78%,19521,247,199,1.28%,1.06%,1009975,11052,85.6%,150331,1.65%,1.9%,118.53,7163.97
2021-07-25,1164635,11291,8664,0.98%,0.77%,19274,228,197,1.2%,1.07%,998923,10584,85.77%,146438,1.65%,1.89%,117.03,7071.72
2021-07-24,1153344,6780,8705,0.59%,0.78%,19046,195,197,1.03%,1.08%,988339,9723,85.69%,145959,1.65%,1.89%,115.65,7003.16
2021-07-23,1146564,6364,8949,0.56%,0.81%,18851,166,198,0.89%,1.1%,978616,9006,85.35%,149097,1.64%,1.89%,114.46,6962
2021-07-22,1140200,3697,9775,0.33%,0.89%,18685,187,201,1.01%,1.12%,969610,8566,85.04%,151905,1.64%,1.89%,113.46,6923.35
2021-07-21,1136503,7614,10995,0.67%,1.01%,18498,173,207,0.94%,1.17%,961044,9704,84.56%,156961,1.63%,1.89%,112.32,6900.9
2021-07-20,1128889,11579,11676,1.04%,1.08%,18325,200,212,1.1%,1.21%,951340,9997,84.27%,159224,1.62%,1.89%,111.27,6854.67
2021-07-19,1117310,13321,11765,1.21%,1.1%,18125,231,212,1.29%,1.23%,941343,9335,84.25%,157842,1.62%,1.89%,110.06,6784.36
2021-07-18,1103989,11578,11829,1.06%,1.12%,17894,225,211,1.27%,1.24%,932008,8845,84.42%,154087,1.62%,1.88%,108.65,6703.48
2021-07-17,1092411,8489,11871,0.78%,1.14%,17669,204,211,1.17%,1.26%,923163,8820,84.51%,151579,1.62%,1.88%,107.29,6633.18
2021-07-16,1083922,12148,11911,1.13%,1.15%,17465,187,209,1.08%,1.26%,914343,8536,84.36%,152114,1.61%,1.87%,106.05,6581.63
2021-07-15,1071774,12236,11794,1.15%,1.15%,17278,226,212,1.33%,1.29%,905807,8395,84.51%,148689,1.61%,1.87%,104.91,6507.87
2021-07-14,1059538,12383,11710,1.18%,1.16%,17052,210,208,1.25%,1.29%,897412,8245,84.7%,145074,1.61%,1.86%,103.54,6433.57
2021-07-13,1047155,12198,11536,1.18%,1.15%,16842,203,207,1.22%,1.3%,889167,7646,84.91%,141146,1.61%,1.86%,102.27,6358.38
2021-07-12,1034957,13768,11439,1.35%,1.16%,16639,220,201,1.34%,1.27%,881521,7020,85.17%,136797,1.61%,1.85%,101.03,6284.31
2021-07-11,1021189,11874,10896,1.18%,1.12%,16419,230,193,1.42%,1.24%,874501,6362,85.64%,130269,1.61%,1.84%,99.7,6200.71
